Created by William 11/15/17

Based off of Pokémon Red

 Ndex	Pokémon		Type 1		Type 2		Location
 #001	Bulbasaur	Grass		Poison		Pallet Town
 #002	Ivysaur		Grass		Poison		Evolve Bulbasaur (Level 16)
 #003	Venusaur	Grass		Poison		Evolve Ivysaur (Level 32)
 #004	Charmander	Fire					Pallet Town
 #005	Charmeleon	Fire					Evolve Charmander (Level 16)
 #006	Charizard	Fire		Flying		Evolve Charmeleon (Level 32)
 #007	Squirtle	Water					Pallet Town
 #008	Wartortle	Water					Evolve Squirtle (Level 16)
 #009	Blastoise	Water					Evolve Wartortle (Level 36)
 #010	Caterpie	Bug						Viridian Forest, Route 25
 #011	Metapod		Bug						Viridian Forest, Route 25
 #012	Butterfree	Bug			Flying		Evolve Metapod (Level 10)
 #013	Weedle		Bug			Poison		Routes 2, 24, 25 & Viridian Forest
 #014	Kakuna		Bug			Poison		Routes 24, 25 & Viridian Forest
 #015	Beedrill	Bug			Poison		Evolve Kakuna (Level 10)
 #016	Pidgey		Normal		Flying		Routes 1, 2, 3, 4, 5, 6, 7, 8, 12, 13, 14, 15, 21, 24, 25 Grasses
 #017	Pidgeotto	Normal		Flying 		Routes 14, 15, 21 Grasses
 #018	Pidgeot		Normal		Flying		Evolve Pidgeotto (Level 36)
 #019	Rattata		Normal					Routes 1, 2, 4, 9, 16, 21, 22 Grasses
 #020	Raticate	Normal					Routes 16, 17, 18, 21
 #021	Spearow		Normal		Flying		Routes 3, 4, 9, 10, 11, 16, 17, 18, 22, 23
 #022	Fearow		Normal		Flying		Routes 17, 18, 23
 #023	Ekans		Poison					Routes 4, 8, 9, 10, 11, 23 
 #024	Arbok		Poison					Route 23 Grasses & Cerulean Cave 1F and B1F Walking 
 #025	Pikachu		Electric				Viridian Forest Grasses & Power Plant Walking 
 #026	Raichu		Electric				Cerulean Cave 1F & B1F Walking 
 #027	Sandshrew	Ground					Unobtainable In Red (Trade) 
 #028	Sandslash	Ground					Unobtainable In Red (Trade) 
 #029	Nidoran♀	Poison					Route 22 & Safari Zone Grasses 
 #030	Nidorina	Poison					Safari Zone Grasses
 #031	Nidoqueen	Poison		Ground		Evolve Nidorina (Moon Stone) 
 #032	Nidoran♂	Poison					Route 22 & Safari Zone Grasses 
 #033	Nidorino	Poison					Safari Zone Grasses 
 #034	Nidoking	Poison		Ground		Evolve Nidorino (Moon Stone) 
 #035	Clefairy	Normal					Mt. Moom Walking 
 #036	Clefable	Normal					Evolve Clefairy (Moon Stone) 
 #037	Vulpix		Fire					Unobtainable In Red (Trade) 
 #038	Ninetales	Fire					Unobtainable In Red (Trade) 
 #039	Jigglypuff	Normal					Route 3 Grasses
 #040	Wigglytuff	Normal					Cerulean Cave 2F Walking 
 #041	Zubat		Poison		Flying		Mt. Moon, Rock Tunnel, Seafoam Islands & Victory Road Walking 
 #042	Golbat		Poison		Flying		Cerulean Cave, Seafoam Islands & Victory Road Walking 
 #043	Oddish		Grass		Poison		Routes 5, 6, 7, 12, 13, 14, 15, 24, 25 Grasses 
 #044	Gloom		Grass		Poison		Routes 12, 13, 14, 15 Grasses 
 #045	Vileplume	Grass		Poison		Evolve Gloom (Leaf Stone) 
 #046	Paras		Bug			Grass		Mt. Moon Walking & Safari Zone Grasses 
 #047	Parasect	Bug			Grass		Cerulean Cave Walking & Safari Zone Grasses 
 #048	Venonat		Bug			Poison		Routes 12, 13, 14, 15 & Safari Zone Grasses 
 #049	Venomoth	Bug			Poison		Cerulean Cave, Victory Road Walking & Safari Zone Grasses 
 #050	Diglett		Ground					Diglett Cave Walking
 #051	Dugtrio		Ground					Diglett Cave Walking
 #052	Meowth		Normal					Unobtainable In Red (Trade) 
 #053	Persian		Normal					Unobtainable In Red (Trade) 
 #054	Psyduck		Water					Seafoam Islands Walking & Routes 24, 25, Cerulean City & Safari Zone Super Rod 
 #055	Golduck		Water					Seafoam Islands Walking 
 #056	Mankey		Fighting				Routes 5, 6, 7, 8 Grasses 
